class_method,endpoint,http_method,scope,authorized,namespace,access_mode

# Home

,/YourRhn.do,GET,W,t,home.overview.main,R
,/YourRhnClips.do,GET,W,t,home.overview.main,R
,/ajax/subscription-warning,POST,W,t,home.overview.main,R
,/ajax/tasks,POST,W,t,home.overview.panels.tasks,R
,/ajax/inactive-systems,POST,W,t,home.overview.panels.inactive_systems,R
,/ajax/critical-systems,POST,W,t,home.overview.panels.critical_systems,R
,/ajax/pending-actions,POST,W,t,home.overview.panels.pending_actions,R
,/ajax/latest-errata,POST,W,t,home.overview.panels.latest_errata,R
,/ajax/systems-groups,POST,W,t,home.overview.panels.system_groups,R
,/ajax/recent-systems,POST,W,t,home.overview.panels.recent_systems,R

# Notification messages

,/manager/notification-messages,GET,W,t,home.notifications,R
,/manager/notification-messages/data-unread,GET,W,t,home.notifications,R
,/manager/notification-messages/data-all,GET,W,t,home.notifications,R
,/manager/notification-messages/update-messages-status,POST,W,t,home.notifications,W
,/manager/notification-messages/delete,POST,W,t,home.notifications,W

,/manager/notification-messages/retry-onboarding/:minionId,POST,W,t,home.notifications.retry,W
,/manager/notification-messages/retry-reposync/:channelId,POST,W,t,home.notifications.retry,W

# User account

,/account/UserDetails.do,GET,W,t,home.account.details,R
,/account/UserDetailsSubmit.do,POST,W,t,home.account.details,W
,/account/Addresses.do,GET,W,t,home.account.address,R
,/account/EditAddress.do,GET,W,t,home.account.address,W
,/account/EditAddressSubmit.do,POST,W,t,home.account.address,W
,/account/ChangeEmail.do,GET,W,t,home.account.email,W
,/account/ChangeEmailSubmit.do,POST,W,t,home.account.email,W
,/account/AccountDeactivation.do,GET,W,t,home.account.deactivate,W
,/account/AccountDeactivationSubmit.do,POST,W,t,home.account.deactivate,W
,/account/AccountDeactivationConfirm.do,GET,W,t,home.account.deactivate,W
,/account/AccountDeactivationConfirm.do,POST,W,t,home.account.deactivate,W

# My preferences

,/account/UserPreferences.do,GET,W,t,home.account.preferences,R
,/account/PrefSubmit.do,POST,W,t,home.account.preferences,W

# My organization

,/multiorg/OrgConfigDetails.do,GET,W,t,home.account.myorg.config,R
,/multiorg/OrgConfigDetails.do,POST,W,t,home.account.myorg.config,W
,/multiorg/Organizations.do,GET,W,t,home.account.myorg.trust,R
,/multiorg/OrgTrustDetails.do,GET,W,t,home.account.myorg.trust,R
,/multiorg/channels/Provided.do,GET,W,t,home.account.myorg.trust,R
,/multiorg/channels/Consumed.do,GET,W,t,home.account.myorg.trust,R
,/multiorg/channels/Provided.do,POST,W,t,home.account.myorg.trust,R
,/multiorg/channels/Consumed.do,POST,W,t,home.account.myorg.trust,R
,/manager/yourorg/recurring-actions,GET,W,t,home.account.myorg.recurring,R

,/manager/api/recurringactions/:type/:id,GET,W,t,home.account.myorg.recurring,R
,/manager/api/recurringactions/:id/details,GET,W,t,home.account.myorg.recurring,R
,/manager/api/states/summary,GET,W,t,home.account.myorg.recurring,R
,/manager/api/states/highstate,GET,W,t,home.account.myorg.recurring,R
,/manager/api/recurringactions/states,GET,W,t,home.account.myorg.recurring,W
,/manager/api/recurringactions/save,POST,W,t,home.account.myorg.recurring,W
,/manager/api/recurringactions/:id/delete,DELETE,W,t,home.account.myorg.recurring,W
,/manager/api/recurringactions/custom/execute,POST,W,t,home.account.myorg.recurring,W
,/manager/api/recurringactions/targets/:type/:id,GET,W,t,home.account.myorg.recurring,W

,/manager/yourorg/custom,GET,W,t,home.account.myorg.config_channels,R
,/manager/api/states/match,GET,W,t,home.account.myorg.config_channels,R
,/manager/api/states/:channelId/content,GET,W,t,home.account.myorg.config_channels,R
,/manager/api/states/save,POST,W,t,home.account.myorg.config_channels,W
,/manager/api/states/apply,POST,W,t,home.account.myorg.config_channels,W
